Ico;Rok;Obdobie od;Obdobie do;Nazov;Odvetvie;SK Nace;Kategória zamestnancov(zo Štatistického úradu);Presný počet zamestnancov(z účtovnej závierky);Mesto;Okres;Kraj;Právna forma – kód;Právna forma;AktivaBrutto-1;AktivaCorr-1;Aktiva-1;AktivaPrev-1;AktivaBrutto-2;AktivaCorr-2;Aktiva-2;AktivaPrev-2;AktivaBrutto-3;AktivaCorr-3;Aktiva-3;AktivaPrev-3;AktivaBrutto-4;AktivaCorr-4;Aktiva-4;AktivaPrev-4;AktivaBrutto-5;AktivaCorr-5;Aktiva-5;AktivaPrev-5;AktivaBrutto-6;AktivaCorr-6;Aktiva-6;AktivaPrev-6;AktivaBrutto-7;AktivaCorr-7;Aktiva-7;AktivaPrev-7;AktivaBrutto-8;AktivaCorr-8;Aktiva-8;AktivaPrev-8;AktivaBrutto-9;AktivaCorr-9;Aktiva-9;AktivaPrev-9;AktivaBrutto-10;AktivaCorr-10;Aktiva-10;AktivaPrev-10;AktivaBrutto-11;AktivaCorr-11;Aktiva-11;AktivaPrev-11;AktivaBrutto-12;AktivaCorr-12;Aktiva-12;AktivaPrev-12;AktivaBrutto-13;AktivaCorr-13;Aktiva-13;AktivaPrev-13;AktivaBrutto-14;AktivaCorr-14;Aktiva-14;AktivaPrev-14;AktivaBrutto-15;AktivaCorr-15;Aktiva-15;AktivaPrev-15;AktivaBrutto-16;AktivaCorr-16;Aktiva-16;AktivaPrev-16;AktivaBrutto-17;AktivaCorr-17;Aktiva-17;AktivaPrev-17;AktivaBrutto-18;AktivaCorr-18;Aktiva-18;AktivaPrev-18;AktivaBrutto-19;AktivaCorr-19;Aktiva-19;AktivaPrev-19;AktivaBrutto-20;AktivaCorr-20;Aktiva-20;AktivaPrev-20;AktivaBrutto-21;AktivaCorr-21;Aktiva-21;AktivaPrev-21;AktivaBrutto-22;AktivaCorr-22;Aktiva-22;AktivaPrev-22;AktivaBrutto-23;AktivaCorr-23;Aktiva-23;AktivaPrev-23;AktivaBrutto-24;AktivaCorr-24;Aktiva-24;AktivaPrev-24;AktivaBrutto-25;AktivaCorr-25;Aktiva-25;AktivaPrev-25;AktivaBrutto-26;AktivaCorr-26;Aktiva-26;AktivaPrev-26;AktivaBrutto-27;AktivaCorr-27;Aktiva-27;AktivaPrev-27;AktivaBrutto-28;AktivaCorr-28;Aktiva-28;AktivaPrev-28;AktivaBrutto-29;AktivaCorr-29;Aktiva-29;AktivaPrev-29;AktivaBrutto-30;AktivaCorr-30;Aktiva-30;AktivaPrev-30;AktivaBrutto-31;AktivaCorr-31;Aktiva-31;AktivaPrev-31;AktivaBrutto-32;AktivaCorr-32;Aktiva-32;AktivaPrev-32;AktivaBrutto-33;AktivaCorr-33;Aktiva-33;AktivaPrev-33;AktivaBrutto-34;AktivaCorr-34;Aktiva-34;AktivaPrev-34;AktivaBrutto-35;AktivaCorr-35;Aktiva-35;AktivaPrev-35;AktivaBrutto-36;AktivaCorr-36;Aktiva-36;AktivaPrev-36;AktivaBrutto-37;AktivaCorr-37;Aktiva-37;AktivaPrev-37;AktivaBrutto-38;AktivaCorr-38;Aktiva-38;AktivaPrev-38;AktivaBrutto-39;AktivaCorr-39;Aktiva-39;AktivaPrev-39;AktivaBrutto-40;AktivaCorr-40;Aktiva-40;AktivaPrev-40;AktivaBrutto-41;AktivaCorr-41;Aktiva-41;AktivaPrev-41;AktivaBrutto-42;AktivaCorr-42;Aktiva-42;AktivaPrev-42;AktivaBrutto-43;AktivaCorr-43;Aktiva-43;AktivaPrev-43;AktivaBrutto-44;AktivaCorr-44;Aktiva-44;AktivaPrev-44;AktivaBrutto-45;AktivaCorr-45;Aktiva-45;AktivaPrev-45;AktivaBrutto-46;AktivaCorr-46;Aktiva-46;AktivaPrev-46;AktivaBrutto-47;AktivaCorr-47;Aktiva-47;AktivaPrev-47;AktivaBrutto-48;AktivaCorr-48;Aktiva-48;AktivaPrev-48;AktivaBrutto-49;AktivaCorr-49;Aktiva-49;AktivaPrev-49;AktivaBrutto-50;AktivaCorr-50;Aktiva-50;AktivaPrev-50;AktivaBrutto-51;AktivaCorr-51;Aktiva-51;AktivaPrev-51;AktivaBrutto-52;AktivaCorr-52;Aktiva-52;AktivaPrev-52;AktivaBrutto-53;AktivaCorr-53;Aktiva-53;AktivaPrev-53;AktivaBrutto-54;AktivaCorr-54;Aktiva-54;AktivaPrev-54;AktivaBrutto-55;AktivaCorr-55;Aktiva-55;AktivaPrev-55;AktivaBrutto-56;AktivaCorr-56;Aktiva-56;AktivaPrev-56;AktivaBrutto-57;AktivaCorr-57;Aktiva-57;AktivaPrev-57;AktivaBrutto-58;AktivaCorr-58;Aktiva-58;AktivaPrev-58;AktivaBrutto-59;AktivaCorr-59;Aktiva-59;AktivaPrev-59;AktivaBrutto-60;AktivaCorr-60;Aktiva-60;AktivaPrev-60;AktivaBrutto-61;AktivaCorr-61;Aktiva-61;AktivaPrev-61;AktivaBrutto-62;AktivaCorr-62;Aktiva-62;AktivaPrev-62;AktivaBrutto-63;AktivaCorr-63;Aktiva-63;AktivaPrev-63;AktivaBrutto-64;AktivaCorr-64;Aktiva-64;AktivaPrev-64;AktivaBrutto-65;AktivaCorr-65;Aktiva-65;AktivaPrev-65;Predchádzajúce obdobie od;Predchádzajúce obdobie do;
35708310;2008;2008-07-01;2009-12-28;"SONDA S, s.r.o. ' v likvidácii '";"Reklama";"Prieskum trhu a verejnej mienky [73200]";nezistený;;"Bratislava";"Bratislava II";Bratislavský;112;"Spol. s r. o.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35724633;2008;2008-10-01;2009-09-30;"OMNITRADE, a.s.";"Doprava a logistika";"Ostatná osobná pozemná doprava i. n. [49390]";50-99 zamestnancov;;"Bratislava - mestská časť Petržalka";"Bratislava V";Bratislavský;121;"Akc. spol.";;;24319967;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35728116;2008;2008-01-01;2008-12-31;"Mercedes-Benz Financial Services Slovakia s. r. o.";"Financie";"Finančný lízing [64910]";25-49 zamestnancov;26;"Bratislava - mestská časť Petržalka";"Bratislava V";Bratislavský;112;"Spol. s r. o.";194302031.467835;194302031.467835;194302031.467835;154966075.814911;53720706.3665936;7584976.4323176;46135729.934276;24602336.8518887;104029.741751311;95830.8437894178;8198.89796189338;12148.9743079068;0;0;0;0;83615.4816437629;75416.5836818695;8198.89796189338;12148.9743079068;13310.761468499;13310.761468499;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22165172.9403173;6825964.28334329;15339208.656974;8621489.74307907;0;0;0;0;0;0;0;0;22165172.9403173;6825964.28334329;15339208.656974;8621489.74307907;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31451503.684525;663181.30518489;30788322.3793401;15968698.1345018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31451503.684525;663181.30518489;30788322.3793401;15968698.1345018;0;0;0;0;0;0;0;0;0;0;0;0;155898824.935272;8254763.32735843;147644061.607913;129986490.075018;45674.8323707097;0;45674.8323707097;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45674.8323707097;0;45674.8323707097;0;0;0;0;0;75862809.5332935;2250481.31182367;73612328.2214698;68236274.3145456;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;75862809.5332935;2250481.31182367;73612328.2214698;68196375.224059;0;0;0;39899.0904866228;77525891.2567218;6004282.01553475;71521609.241187;61599548.5627033;28351191.6616876;4087465.97623315;24263725.6854544;15151198.3004714;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;266248.423288854;0;266248.423288854;1547500.49790878;48908451.1717453;1916816.0393016;46991635.1324437;44900849.7643232;2464449.31288588;0;2464449.31288588;150667.197769369;298.74526986656;0;298.74526986656;23036.5796985992;2464150.56761601;0;2464150.56761601;127630.618070769;0;0;0;0;0;0;0;0;0;0;0;0;522239.925645622;0;522239.925645622;377248.888003718;2555.93175330279;0;2555.93175330279;1493.7263493328;;;;;519683.993892319;0;519683.993892319;375755.161654385;;;;;;;
35729112;2008;2008-06-04;2009-12-31;"DIRECT 21, a.s. v likvidácii";"Hazard";"Činnosti herní a stávkových kancelárií [92000]";nezistený;;"Bratislava";"Bratislava IV";Bratislavský;121;"Akc. spol.";;;120508;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35735295;2008;2008-09-29;2009-12-31;"EMI Music Publishing Slovenská republika, s. r. o. v likvidácii";"Média, vydavateľstvá a kultúra";"Vydávanie časopisov a periodík [58140]";nezistený;;"Bratislava";"Bratislava I";Bratislavský;112;"Spol. s r. o.";;;86046;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35738880;2008;2008-01-01;2008-12-31;"PAAS s.r.o.";"Doprava a logistika";"Vedľajšie činnosti v pozemnej doprave [52210]";100-149 zamestnancov;;"Bratislava - mestská časť Staré Mesto";"Bratislava I";Bratislavský;112;"Spol. s r. o.";;;412947;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;177538;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35744065;2008;2008-08-01;2009-07-31;"Cisco Systems Slovakia, spol. s r.o.";"Sprostredkovanie";"Špecializované sprostredkovanie obchodu s iným špecifickým tovarom [46180]";50-99 zamestnancov;;"Bratislava - mestská časť Staré Mesto";"Bratislava I";Bratislavský;112;"Spol. s r. o.";;;2586164;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35749474;2008;2008-10-01;2009-09-30;"ThyssenKrupp Výťahy, s.r.o., v likvidácii";"Stavebníctvo";"Ostatná stavebná inštalácia [43290]";nezistený;;"Bratislava";"Bratislava II";Bratislavský;112;"Spol. s r. o.";;;1884828;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35754214;2008;2008-01-01;2008-12-31;"BURDA PRINT CEE s. r. o. - v likvidácii";"Média, vydavateľstvá a kultúra";"Iná tlač [18120]";nezistený;;"Bratislava";"Bratislava I";Bratislavský;112;"Spol. s r. o.";54602104.4944566;19758547.4341101;34843557.0603465;39735145.7213039;35817367.0583549;19678716.059218;16138650.999137;17761435.3050521;124742.747128726;124742.747128726;;265.551350992498;6472.81418044214;6472.81418044214;;;96461.528248025;96461.528248025;;;;;;;;;;;21808.4047002589;21808.4047002589;;265.551350992498;;;;;;;;;35692624.3112262;19553973.3120892;16138650.999137;17761169.7537011;3997842.39527319;;3997842.39527319;3969096.46152825;10022671.446591;1862510.78802363;8160160.65856735;8472415.85341566;21142501.4937264;17669255.7923388;3473245.70138751;5039135.63035252;;;;;;;;;25824.8688840204;22206.7317267477;3618.13715727279;6837.94728805683;503784.106751643;;503784.106751643;273683.861116643;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18773584.27936;79831.3748921198;18693752.9044679;21901945.163646;2150202.48290513;64296.6208590586;2085905.86204607;1961528.24802496;1973710.41625174;64296.6208590586;1909413.79539268;1602967.53634734;3883.68850826529;;3883.68850826529;19883.1574055633;172608.378145124;;172608.378145124;338677.554272057;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15496016.7297351;15534.7540330611;15480481.975702;17818163.7124079;15086868.4856934;15534.7540330611;15071333.7316604;17542753.7675098;;;;;;;;;;;;;;;;;;;;;337947.288056828;;337947.288056828;252107.813848503;71200.9559848636;;71200.9559848636;23302.1310495917;1127365.06671978;;1127365.06671978;2122253.20321317;33990.5729270398;;33990.5729270398;112759.74241519;1093374.49379274;;1093374.49379274;2009493.46079798;;;;;;;;;;;;;11153.1567416849;;11153.1567416849;71765.2526057226;11153.1567416849;;11153.1567416849;71765.2526057226;;;;;;;;;;;;;;;
35755709;2008;2008-01-01;2008-12-31;"REGENCY CASINOS International, a. s. v likvidácii";"Hazard";"Činnosti herní a stávkových kancelárií [92000]";nezistený;;"Bratislava";"Bratislava III";Bratislavský;121;"Akc. spol.";2430923.45482308;282978.158401381;2147945.2964217;2516696.54119365;571732.058686849;274546.903007369;297185.15567948;336221.204275377;31866.1621190998;29907.7209055301;1958.44121356967;6340.03850494589;;;;;25360.1540197836;23932.8155081989;1427.33851158468;2522.73783442873;;;;;;;;;6506.0080993162;5974.90539733121;531.102701984996;3817.30067051716;;;;;;;;;539865.896567749;244639.182101839;295226.71446591;329881.165770431;;;;;389132.310960632;160525.791674965;228606.519285667;240025.227378344;150733.585607117;84113.3904268738;66620.195180243;89855.9383920866;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1850926.11033659;8431.25539401182;1842494.85494257;2173172.67476598;2589.12567217686;;2589.12567217686;564.296620859059;2589.12567217686;;2589.12567217686;564.296620859059;;;;;;;;;;;;;;;;;;;;;11983.0047135365;;11983.0047135365;12646.8830910177;995.817566221868;;995.817566221868;995.817566221868;;;;;;;;;;;;;;;;;;;;;10987.1871473146;;10987.1871473146;11651.0655247959;110402.974175131;8431.25539401182;101971.718781119;21642.4351058886;1460.53243045874;;1460.53243045874;21509.6594303924;;;;;;;;;;;;;;;;;;;;;100511.186350661;;100511.186350661;;8431.25539401182;8431.25539401182;;132.775675496249;1725951.00577574;;1725951.00577574;2138319.05994822;252804.886144858;;252804.886144858;436699.196707163;1473146.11963088;;1473146.11963088;1701619.86324105;;;;;;;;;;;;;8265.28579964151;;8265.28579964151;7302.6621522937;8265.28579964151;;8265.28579964151;7302.6621522937;;;;;;;;;;;;;;;
35756195;2008;2008-09-01;2009-08-31;"GLOBAL plus, s.r.o.";"Nehnuteľnosti";"Prenájom a prevádzkovanie vlastných alebo prenajatých nehnuteľností [68200]";nezistený;;"Bratislava";"Bratislava II";Bratislavský;112;"Spol. s r. o.";;;9922743;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35774304;2008;2008-01-01;2008-12-31;"ENFER a.s.";"Nehnuteľnosti";"Prenájom a prevádzkovanie vlastných alebo prenajatých nehnuteľností [68200]";2 zamestnanci;2;"Bratislava";"Bratislava I";Bratislavský;121;"Akc. spol.";1720474.00916152;118601.872137024;1601872.1370245;1544612.62696674;1550587.53236407;118601.872137024;1431985.66022705;1388833.56569077;1460.53243045874;1460.53243045874;;;1460.53243045874;1460.53243045874;;;;;;;;;;;;;;;;;;;;;;;;;;;1486822.014207;117141.339706566;1369680.67450043;1327955.91847574;920002.65551351;;920002.65551351;920002.65551351;428599.880501892;65690.7654517692;362909.115050123;384352.386642767;51450.5742547965;51450.5742547965;;;;;;;99.5817566221868;;99.5817566221868;99.5817566221868;;;;;86669.3221801766;;86669.3221801766;23501.2945628361;;;;;;;;;62304.9857266149;;62304.9857266149;60877.6472150302;;;;;;;;;;;;;;;;;62304.9857266149;;62304.9857266149;60877.6472150302;;;;;;;;;;;;;168094.005178251;;168094.005178251;153887.007900153;1460.53243045874;;1460.53243045874;5842.12972183496;;;;;;;;;1460.53243045874;;1460.53243045874;5842.12972183496;;;;;;;;;;;;;128493.659961495;;128493.659961495;93009.3606851225;;;;;;;;;;;;;;;;;;;;;;;;;128493.659961495;;128493.659961495;93009.3606851225;16696.5411936533;;16696.5411936533;18787.7580827192;1759.2777003253;;1759.2777003253;14206.9972780987;;;;;;;;;;;;;;;;;;;;;14937.263493328;;14937.263493328;4282.01553475403;;;;298.74526986656;21443.2715926442;;21443.2715926442;36247.759410476;1062.20540396999;;1062.20540396999;11684.2594436699;20381.0661886742;;20381.0661886742;24563.4999668061;;;;;;;;;;;;;1792.47161919936;;1792.47161919936;1892.05337582155;1792.47161919936;;1792.47161919936;1892.05337582155;;;;;;;;;;;;;;;
35776005;2008;2008-01-01;2008-12-31;"Slovenská konsolidačná, a.s.";"Verejná správa";"Všeobecná verejná správa [84110]";100-149 zamestnancov;;"Bratislava";"Bratislava I";Bratislavský;121;"Akc. spol.";;;73720374;315899887;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;70025891;83137489;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35778458;2008;2008-01-01;2008-12-31;"Letové prevádzkové služby Slovenskej republiky, štátny podnik,  (v skratke „LPS SR, š. p.')";"Doprava a logistika";"Vedľajšie činnosti v leteckej doprave [52230]";500-999 zamestnancov;;"Bratislava";"Bratislava I";Bratislavský;301;"Štátny podnik";;;66638746;62488382;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14730872;13898692;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35793813;2008;2008-09-01;2009-08-31;"Forvis Mazars Slovensko s.r.o.";"Právo, poradenstvo a účtovníctvo";"Účtovnícke a audítorské činnosti, vedenie účtovných kníh; daňové poradenstvo [69200]";50-99 zamestnancov;;"Bratislava - mestská časť Staré Mesto";"Bratislava I";Bratislavský;112;"Spol. s r. o.";;;1434140;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35796693;2008;2008-01-01;2008-12-31;"AUTONOVO, a.s.";"Predaj a údržba vozidiel";"Predaj automobilov a ľahkých motorových vozidiel [45110]";100-149 zamestnancov;;"Banská Bystrica";"Banská Bystrica";Banskobystrický;121;"Akc. spol.";8213071.765252608;8514771.29389896;8213071.765252608;7662882.55991502;5500398.32702649;1177952.59908385;4322445.72794264;3933711.7440085;34920.0026555135;31766.5803624776;3153.42229303592;11684.2594436699;;;;;34920.0026555135;31766.5803624776;3153.42229303592;11684.2594436699;;;;;;;;;;;;;;;;;;;;;5465478.32437098;1146186.01872137;4319292.3056496;3922027.48456483;906758.281882759;;906758.281882759;906758.281882759;2305450.44147912;405364.137290048;1900086.30418907;2011584.67768705;1924616.610237;740821.881431322;1183794.72880568;900783.376485428;;;;;;;;;;;;;225751.842262498;;225751.842262498;;102901.148509593;;102901.148509593;102901.148509593;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2745369.44831707;;2745369.44831707;2639016.13224457;;;;;732291.044280688;;732291.044280688;746630.817234283;174699.59503419;;174699.59503419;210349.863904933;;;;;132.775675496249;;132.775675496249;132.775675496249;1838246.03332669;;1838246.03332669;1681902.67542986;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1222532.03213171;145754.497776007;1076777.53435571;1019617.60605457;1080594.83502622;142435.105888601;934840.337250216;775210.78138485;;;;;;;;;;;;;;;;;;;;;;;;;141937.19710549;;141937.19710549;244406.824669721;100975.901214897;46637.4560180575;54338.4451968399;31003.1202283742;51483.7681736706;;51483.7681736706;23800.0398327026;2854.67702316936;;2854.67702316936;7203.08039567151;;;;;46637.4560180575;46637.4560180575;;;;;;;14140.6094403505;;14140.6094403505;39533.9573790082;14140.6094403505;;14140.6094403505;39235.2121091416;;;;;;;;298.74526986656;;;;;;;
35807598;2008;2008-01-01;2008-12-31;"POHOTOVOSŤ, s.r.o.";"Financie";"Ostatné poskytovanie úverov [64920]";25-49 zamestnancov;;"Bratislava";"Bratislava I";Bratislavský;112;"Spol. s r. o.";70209785.5672841;11790048.4631216;58419737.1041625;40774978.4239527;1637157.27278763;766314.811126602;870842.461661024;710980.54836354;209088.494987718;138285.866029343;70802.6289583748;;;;;;208723.361880104;137920.732921729;70802.6289583748;;;;;;365.133107614685;365.133107614685;;;;;;;;;;;;;;;766148.841532231;448781.783177322;317367.058354909;280754.165836819;;;;;;;;;766148.841532231;448781.783177322;317367.058354909;280754.165836819;;;;;;;;;;;;;;;;;;;;;;;;;661919.936267676;179247.161919936;482672.77434774;430226.382526721;;;;;527783.31009759;179247.161919936;348536.148177654;348536.148177654;132775.675496249;;132775.675496249;;;;;;1360.95067383655;;1360.95067383655;81690.2343490672;;;;;;;;;;;;;68272588.4617938;11023733.651995;57248854.8097988;39841764.5887274;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9991.36958109274;;9991.36958109274;18688.1763260971;9991.36958109274;;9991.36958109274;18688.1763260971;;;;;;;;;;;;;;;;;;;;;;;;;68035285.1357631;11023733.651995;57011551.4837682;38524696.2756423;50362212.0427538;11023733.651995;39338478.3907588;35266613.5563965;;;;;2210017.92471619;;2210017.92471619;;10107714.2667463;;10107714.2667463;3257949.94357034;;;;;;;;;;;;;5355340.90154684;;5355340.90154684;132.775675496249;227311.956449578;;227311.956449578;1298380.13675895;3883.68850826529;;3883.68850826529;803724.35769767;223428.267941313;;223428.267941313;494655.779061276;;;;;;;;;;;;;300039.832702649;;300039.832702649;222233.286861847;300039.832702649;;300039.832702649;222233.286861847;;;;;;;;;;;;;;;
35809663;2008;2008-11-01;2009-10-31;"BOARDRIDERS CLUB - Bratislava s.r.o.";"Maloobchod";"Maloobchod s odevmi v špecializovaných predajniach [47710]";5-9 zamestnancov;;"Bratislava - mestská časť Staré Mesto";"Bratislava I";Bratislavský;112;"Spol. s r. o.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35815256;2008;2008-01-01;2008-12-31;"Slovenský plynárenský priemysel, a.s.";"Energie a ťažba";"Predaj plynu prepravovaného potrubím [35230]";500-999 zamestnancov;748;"Bratislava";"Bratislava I";Bratislavský;121;"Akc. spol.";;;7276469000;7017393613;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;206700000;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
